800,Uganda,736.6031
804,Ukraine,3495.5312
784,United Arab Emirates,43103.3231
826,United Kingdom,41854.5031
840,United States,65133.7317
858,Uruguay,16190.1384
860,Uzbekistan,1756.1635
548,Vanuatu,3023.4094
862,Venezuela (Bolivarian Republic of),4732.8201
704,Viet Nam,2715.2759
887,Yemen,855.0668
894,Zambia,1292.4821
836,Zanzibar,1110.8427
716,Zimbabwe,1463.9859
